dna_id,dias_avaliados,taxa_alvo_min_dia_pct,taxa_alvo_max_dia_pct,taxa_alvo_mediana_dias_pct,dias_acima_50_pct,dias_acima_58_pct,proporcao_dias_acima_50_pct,proporcao_dias_acima_58_pct,taxa_primeira_metade_pct,taxa_segunda_metade_pct,degradacao_segunda_menos_primeira_pp
DNA_01262391215D,2,50.0,62.5,56.25,2,1,100.0,50.0,62.5,50.0,-12.5
DNA_01A2AC5DEF00,3,0.0,100.0,100.0,2,2,66.66666666666667,66.66666666666667,100.0,0.0,-100.0
DNA_02DCDED28577,3,100.0,100.0,100.0,3,3,100.0,100.0,100.0,100.0,0.0
DNA_0404D240F778,2,0.0,100.0,50.0,1,1,50.0,50.0,100.0,0.0,-100.0
DNA_053519090D31,2,50.0,50.0,50.0,2,0,100.0,0.0,50.0,50.0,0.0
DNA_06528B31BF49,4,66.66666666666667,100.0,83.33333333333333,4,4,100.0,100.0,91.66666666666666,75.0,-16.666666666666657
DNA_0721D6E6F3C9,4,60.0,100.0,79.16666666666666,4,4,100.0,100.0,71.66666666666666,87.5,15.833333333333343
DNA_079D3E4481A7,4,57.142857142857146,83.33333333333333,77.5,4,3,100.0,75.0,79.16666666666666,68.57142857142857,-10.595238095238088
DNA_098752346F64,1,50.0,50.0,50.0,1,0,100.0,0.0,50.0,50.0,0.0
DNA_0ACFAB4AE0CD,4,33.333333333333336,100.0,58.888888888888886,2,2,50.0,50.0,70.0,55.55555555555556,-14.444444444444443
DNA_0B7B4EA435EA,3,85.71428571428571,100.0,100.0,3,3,100.0,100.0,100.0,85.71428571428571,-14.285714285714292
DNA_0CDC5A943B30,4,66.66666666666667,100.0,100.0,4,4,100.0,100.0,83.33333333333334,100.0,16.666666666666657
DNA_0DB4B4CC9BFE,3,66.66666666666667,100.0,100.0,3,3,100.0,100.0,66.66666666666667,100.0,33.33333333333333
DNA_0DDD8BFE6E7B,1,100.0,100.0,100.0,1,1,100.0,100.0,100.0,100.0,0.0
DNA_0E0759144567,4,50.0,100.0,63.333333333333336,4,3,100.0,75.0,55.0,83.33333333333334,28.333333333333343
